A,B,X,r_A,r_B,r_X,chi_A,chi_B,chi_X,t,mu,p_stable,y
K,Sn,Br,1.62,0.90,1.95,0.85,1.85,2.85,0.86,0.46,0.63,1
Cs,Pb,Cl,1.80,1.05,1.92,0.80,2.05,3.10,0.91,0.55,0.66,1
Rb,Ge,I,1.70,0.80,2.15,0.80,2.10,2.50,0.83,0.37,0.44,0
K,Sn,Cl,1.50,0.95,1.85,0.90,1.80,3.20,0.85,0.51,0.61,1
Cs,Sn,Br,1.85,1.00,2.00,0.70,1.90,2.90,0.94,0.50,0.68,1
Rb,Pb,I,1.60,1.10,2.20,0.85,2.20,2.40,0.77,0.50,0.40,0
Cs,Ge,Br,1.75,0.85,1.98,0.75,2.15,2.95,0.92,0.43,0.65,1
K,Pb,Cl,1.40,1.15,1.90,0.95,2.30,3.25,0.78,0.60,0.45,0
Rb,Sn,I,1.68,0.88,2.12,0.80,1.95,2.60,0.85,0.42,0.60,1
Cs,Pb,Br,1.90,1.10,2.05,0.85,2.10,2.85,0.90,0.54,0.62,1
K,Ge,Cl,1.35,0.75,1.82,0.90,2.10,3.10,0.84,0.41,0.58,1
Rb,Sn,Br,1.60,1.20,2.00,0.80,1.90,2.90,0.80,0.60,0.52,1
